Title,Description,Project,Status,Priority,Labels,Milestone,Estimate,Dependencies
"Phase 2.4.2: Transfer Credits Function","Create supabase/functions/transfer-credits/index.ts. Implement manual credit operations (admin only), add validation, log all transfers.","Backend",Backlog,Medium,"Phase 2, Backend, Type: Feature",Weeks 2-4: P2P Exchange,2h,2.4.1
"Phase 3.1.1: Browse Listings Screen","Replace app/(tabs)/exchange.tsx placeholder. Implement city-filtered listings grid, search/filter UI, pull-to-refresh, infinite scroll pagination.","Frontend",Backlog,High,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,6h,2.1.1
"Phase 3.1.2: Create Listing Screen","Create app/(tabs)/exchange/create.tsx. Add book selection from library, listing form, image upload (optional), optimistic update.","Frontend",Backlog,High,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,4h,3.1.1
"Phase 3.1.3: Listing Detail Screen","Create app/(tabs)/exchange/[listingId].tsx. Show book details, listing info, Request button, distance, owner profile preview.","Frontend",Backlog,High,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,4h,3.1.2
"Phase 3.1.4: Transaction Flow Screens","Create app/(tabs)/exchange/transaction/[transactionId].tsx. Implement state-based UI, payment button, delivery tracking, complete button.","Frontend",Backlog,High,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,6h,3.1.3
"Phase 3.2.1: Listing Card Component","Create src/components/exchange/ListingCard.tsx. Show book cover, title, condition, distance. Add swipe actions, loading/error states.","Frontend",Backlog,Medium,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,2h,3.1.1
"Phase 3.2.2: Transaction Status Component","Create src/components/exchange/TransactionStatus.tsx. Show progress bar, status-specific actions, estimated delivery time.","Frontend",Backlog,Medium,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,2h,3.2.1
"Phase 3.2.3: Payment Modal Component","Create src/components/exchange/PaymentModal.tsx. Integrate Razorpay Checkout, handle success/failure, show confirmation.","Frontend",Backlog,High,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,2h,3.2.2
"Phase 3.2.4: Address Picker Component","Create src/components/exchange/AddressPicker.tsx. Show saved addresses, add new address button, integrate Google Maps geocoding.","Frontend",Backlog,Medium,"Phase 3, Frontend, Type: Feature",Weeks 2-4: P2P Exchange,2h,3.2.3
"Phase 3.3.1: Install Razorpay SDK","Install react-native-razorpay, configure for iOS and Android, test basic integration.","Frontend",Backlog,High,"Phase 3, Integrations, Type: Feature",Weeks 2-4: P2P Exchange,1h,3.1.4
"Phase 3.3.2: Implement Payment Flow","Create src/features/payments/services/paymentService.ts. Implement order creation → checkout → verification flow, add error handling.","Frontend",Backlog,High,"Phase 3, Integrations, Type: Feature",Weeks 2-4: P2P Exchange,3h,3.3.1
"Phase 4.1.1: Create Clubs Service","Create src/features/clubs/services/clubsService.ts with CRUD operations. Add membership management, tier-based limits, TanStack Query hooks.","Backend",Backlog,High,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,6h,1.2.5
"Phase 4.1.2: Create Messages Service","Create src/features/clubs/services/messagesService.ts with message CRUD. Add spoiler tag support, chapter references, real-time subscription setup.","Backend",Backlog,High,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,6h,4.1.1
"Phase 4.1.3: Create Voting Service","Create src/features/clubs/services/votingService.ts with voting operations. Add vote tallying, TanStack Query hooks.","Backend",Backlog,Medium,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,4h,4.1.2
"Phase 4.2.1: Check Membership Limits Function","Create supabase/functions/check-membership-limits/index.ts. Query user tier, check club count, return allowed/denied.","Backend",Backlog,Medium,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,2h,4.1.1
"Phase 4.2.2: Moderate Content Function","Create supabase/functions/moderate-content/index.ts. Implement profanity filter, spam detection, log moderation actions.","Backend",Backlog,Medium,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,3h,4.2.1
"Phase 4.2.3: Wishlist Notify Function","Create supabase/functions/wishlist-notify/index.ts. Match new listings to wishlists, send push notifications, log notifications.","Backend",Backlog,Medium,"Phase 4, Integrations, Type: Feature",Weeks 5-6: Book Clubs,3h,4.2.2
"Phase 4.3.1: Configure Supabase Realtime","Enable Realtime on club_messages table, configure RLS policies, test subscription with multiple clients.","Backend",Backlog,High,"Phase 4, Backend, Risk: Medium, Type: Feature",Weeks 5-6: Book Clubs,2h,4.1.2
"Phase 4.3.2: Implement Real-time Hooks","Create src/features/clubs/hooks/useRealtimeMessages.ts. Subscribe to messages, handle insert/update/delete, integrate with TanStack Query cache.","Backend",Backlog,High,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,4h,4.3.1
"Phase 4.3.3: Optimize Real-time Performance","Add message batching, connection status indicator, graceful reconnection, test with poor network conditions.","Backend",Backlog,Medium,"Phase 4, Backend, Type: Feature",Weeks 5-6: Book Clubs,2h,4.3.2
"Phase 5.1.1: Browse Clubs Screen","Replace app/(tabs)/clubs.tsx placeholder. Implement clubs grid with filters, search, member count, current book, create button.","Frontend",Backlog,High,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,4h,4.1.1
"Phase 5.1.2: Club Detail Screen","Create app/(tabs)/clubs/[clubId].tsx. Show club info, member list, join button, current book, voting status, chat navigation.","Frontend",Backlog,High,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,6h,5.1.1
"Phase 5.1.3: Club Chat Screen","Create app/(tabs)/clubs/[clubId]/chat.tsx. Implement message list with real-time updates, spoiler toggle, chapter picker, reactions, auto-scroll.","Frontend",Backlog,High,"Phase 5, Frontend, Risk: Medium, Type: Feature",Weeks 5-6: Book Clubs,8h,5.1.2
"Phase 5.1.4: Create Club Screen","Create app/(tabs)/clubs/create.tsx. Add club creation form, book selection, membership limit check, optimistic update.","Frontend",Backlog,Medium,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,2h,5.1.3
"Phase 5.2.1: Club Card Component","Create src/components/clubs/ClubCard.tsx. Show club name, book, member count, join button, loading states.","Frontend",Backlog,Low,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,2h,5.1.1
"Phase 5.2.2: Message Bubble Component","Create src/components/clubs/MessageBubble.tsx. Implement spoiler tag rendering, chapter references, reactions, timestamp, read status.","Frontend",Backlog,Medium,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,3h,5.2.1
"Phase 5.2.3: Voting Component","Create src/components/clubs/VotingCard.tsx. Show poll options, vote button, results after voting, countdown timer.","Frontend",Backlog,Medium,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,3h,5.2.2
"Phase 5.3.1: Implement Message Pagination","Add infinite scroll for old messages, load 50 messages at a time, maintain scroll position on load.","Frontend",Backlog,Low,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,2h,5.1.3
"Phase 5.3.2: Add Typing Indicators","Implement typing presence, show 'User is typing...' indicator, debounce typing events.","Frontend",Backlog,Low,"Phase 5, Frontend, Type: Feature",Weeks 5-6: Book Clubs,2h,5.3.1
"Phase 6.1.1: Configure Firebase Cloud Messaging","Create Firebase project, add FCM configuration to app.json, install expo-notifications, test notification delivery.","Backend",Backlog,High,"Phase 6, Integrations, Risk: Medium, Type: Feature",Week 7: Integrations,3h,1.2.5
"Phase 6.1.2: Implement Notification Service","Create src/services/notificationService.ts. Register device token, handle permissions, handle notification taps.","Frontend",Backlog,High,"Phase 6, Integrations, Type: Feature",Week 7: Integrations,3h,6.1.1
"Phase 6.1.3: Create Send Notification Edge Function","Create supabase/functions/send-notification/index.ts. Integrate FCM Admin SDK, send notifications for key events.","Backend",Backlog,High,"Phase 6, Integrations, Type: Feature",Week 7: Integrations,2h,6.1.2
"Phase 6.2.1: Create Venues Service","Create src/features/venues/services/venuesService.ts. Implement getVenues with geospatial filtering, TanStack Query hooks.","Backend",Backlog,Medium,"Phase 6, Backend, Type: Feature",Week 7: Integrations,3h,1.2.5
"Phase 6.2.2: Create Venues Screen","Create app/(tabs)/venues.tsx. Show venues list with map view, distance calculation, venue detail modal.","Frontend",Backlog,Medium,"Phase 6, Frontend, Type: Feature",Week 7: Integrations,4h,6.2.1
"Phase 6.2.3: Integrate Google Maps","Install react-native-maps, add map view to venues screen, show venue markers, test on iOS and Android.","Frontend",Backlog,Medium,"Phase 6, Integrations, Type: Feature",Week 7: Integrations,1h,6.2.2
"Phase 6.3.1: Profile Screen","Update app/(tabs)/profile.tsx. Show user info, tier, credit balance, navigation to settings.","Frontend",Backlog,Medium,"Phase 6, Frontend, Type: Feature",Week 7: Integrations,4h,1.2.5
"Phase 6.3.2: Credit History Screen","Create app/(tabs)/profile/credit-history.tsx. Show credit_events list, filtering by type, running balance.","Frontend",Backlog,Low,"Phase 6, Frontend, Type: Feature",Week 7: Integrations,2h,6.3.1
"Phase 6.3.3: Settings Screen","Create app/(tabs)/profile/settings.tsx. Add notification preferences, theme toggle, logout button.","Frontend",Backlog,Low,"Phase 6, Frontend, Type: Feature",Week 7: Integrations,2h,6.3.2
"Phase 7.1.1: Test Exchange Flow","Test: Browse → Request → Approve → Pay → Ship → Deliver → Complete. Test credit transfer, refund, edge cases. Document bugs.","Testing & QA",Backlog,Critical,"Phase 7, Testing, Type: Testing",Weeks 8-9: Testing & Polish,8h,3.3.2
"Phase 7.1.2: Test Clubs Flow","Test: Create → Join → Chat → Vote → Finish. Test real-time with multiple devices, spoiler tags, membership limits. Document bugs.","Testing & QA",Backlog,Critical,"Phase 7, Testing, Type: Testing",Weeks 8-9: Testing & Polish,8h,5.3.2
"Phase 7.1.3: Test Integration Points","Test Razorpay, Porter/Dunzo, push notifications, Google Books API, Google Maps. Document bugs.","Testing & QA",Backlog,Critical,"Phase 7, Testing, Type: Testing",Weeks 8-9: Testing & Polish,8h,6.1.3
"Phase 7.2.1: Fix Critical Bugs","Prioritize bugs by severity. Fix all Severity 1 (crashes, data loss) and Severity 2 (feature broken) bugs. Test fixes.","Testing & QA",Backlog,Critical,"Phase 7, Testing, Type: Bug",Weeks 8-9: Testing & Polish,16h,7.1.3
"Phase 7.2.2: Fix High-Priority Bugs","Fix Severity 3 bugs (UX issues) and performance issues. Test fixes.","Testing & QA",Backlog,High,"Phase 7, Testing, Type: Bug",Weeks 8-9: Testing & Polish,8h,7.2.1
"Phase 7.3.1: Optimize App Load Time","Measure current load time, optimize bundle size, add splash screen, lazy load screens. Target: <3 seconds.","Testing & QA",Backlog,High,"Phase 7, Testing, Type: Feature",Weeks 8-9: Testing & Polish,3h,7.2.2
"Phase 7.3.2: Optimize API Response Time","Add database indexes, optimize RLS policies, add caching for Google Books API. Target: <1 second.","Backend",Backlog,High,"Phase 7, Backend, Type: Feature",Weeks 8-9: Testing & Polish,3h,7.3.1
"Phase 7.3.3: Optimize Real-time Chat","Add message batching, optimize subscription queries, test with 100+ messages. Target: <100ms latency.","Backend",Backlog,Medium,"Phase 7, Backend, Type: Feature",Weeks 8-9: Testing & Polish,2h,7.3.2
"Phase 7.4.1: Design Consistency Audit","Verify consistent spacing, colors, typography. Fix inconsistencies.","Frontend",Backlog,Medium,"Phase 7, Frontend, Type: Feature",Weeks 8-9: Testing & Polish,3h,7.2.2
"Phase 7.4.2: Accessibility Audit","Test with VoiceOver/TalkBack, verify color contrast, add accessibility labels, fix issues.","Frontend",Backlog,Medium,"Phase 7, Frontend, Type: Feature",Weeks 8-9: Testing & Polish,3h,7.4.1
"Phase 7.4.3: Copywriting Audit","Review all user-facing text, fix typos/grammar, improve clarity, add helpful hints.","Frontend",Backlog,Low,"Phase 7, Frontend, Type: Feature",Weeks 8-9: Testing & Polish,2h,7.4.2
"Phase 8.1.1: Seed Test Users","Create 5 test user accounts with realistic profiles, add profile photos/bios, set realistic locations.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,7.2.2
"Phase 8.1.2: Seed Books and Listings","Add 50+ books across users' libraries, create 15 active listings, add reading notes for 20 books, add wishlists.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.1.1
"Phase 8.1.3: Seed Transactions","Create 10 completed transactions, 3 in-progress transactions, 2 cancelled transactions with refunds.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,0.5h,8.1.2
"Phase 8.1.4: Seed Clubs and Chat","Create 3 active book clubs, add 100+ chat messages with spoiler tags, add voting polls with results.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,0.5h,8.1.3
"Phase 8.2.1: Configure Primary Demo Account","Create 'Demo User' account (Silver tier), add 10 books with notes, join 2 clubs, set up transaction, saved addresses.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.1.4
"Phase 8.2.2: Configure Secondary Demo Accounts","Create accounts for live interaction demo, set up for real-time chat, prepare for transaction flow demo.","Documentation & Investor Prep",Backlog,Medium,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.2.1
"Phase 8.3.1: Rehearse Full Demo","Practice complete walkthrough (10 minutes), time each section, identify slow/buggy areas, fix critical issues.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,2h,8.2.2
"Phase 8.3.2: Test on Multiple Devices","Test on iOS device, test on Android device, verify all features work on both platforms.","Testing & QA",Backlog,High,"Phase 8, Testing, Type: Testing",Week 10: Investor Prep,1h,8.3.1
"Phase 8.4.1: Write Demo Script","Write opening (1 min), personal library (2 min), P2P exchange (3 min), book clubs (2 min), venues (1 min), profile (1 min).","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,4h,8.3.2
"Phase 8.4.2: Create Demo Talking Points","Prepare problem statement, solution highlights, market opportunity, business model, traction & roadmap.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,2h,8.4.1
"Phase 8.4.3: Prepare Q&A Responses","Prepare responses to common investor questions (fraud prevention, forward circulation, competition, CAC, quality, unit economics, expansion, defensibility).","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,2h,8.4.2
"Phase 8.5.1: Define Key Metrics","Define user metrics (1000 users, 70% MAU), transaction metrics (5000 transactions, 98% success), engagement metrics, financial metrics.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,2h,8.4.3
"Phase 8.5.2: Create Metrics Dashboard","Design dashboard layout (4 sections), populate with demo data, export as PDF/PNG.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,4h,8.5.1
"Phase 8.5.3: Implement Analytics Tracking","Set up Firebase Analytics/Mixpanel, configure event tracking, define events to track.","Backend",Backlog,Medium,"Phase 8, Integrations, Type: Feature",Week 10: Investor Prep,2h,8.5.2
"Phase 8.6.1: Prepare Recording Setup","Set up screen recording software, set up microphone, test audio quality, set up device for recording.","Documentation & Investor Prep",Backlog,Medium,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.4.1
"Phase 8.6.2: Record Demo","Record full demo walkthrough, record voiceover separately, add annotations (text overlays, arrows, transitions).","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,3h,8.6.1
"Phase 8.6.3: Edit and Finalize Video","Edit video (cut mistakes, add intro/outro, add music, add captions), export in 1080p/4K, review and get feedback.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,3h,8.6.2
"Phase 8.7.1: Review Existing Pitch Deck","Identify gaps between deck claims and app features, update screenshots with actual app screens, update metrics and roadmap.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.5.3
"Phase 8.7.2: Create Supporting Materials","Create 1-page one-pager, compile FAQ document with technical FAQs, format as PDF.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,2h,8.7.1
"Phase 8.7.3: Rehearse Pitch","Practice full pitch (20 minutes), practice transitions, have team ask tough questions, refine responses.","Documentation & Investor Prep",Backlog,High,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,1h,8.7.2
"Phase 8.8: Investor-Ready Checklist","Complete technical checklist (functionality, performance, stability, security, scalability, cross-platform, offline, accessibility). Complete demo and materials checklists.","Documentation & Investor Prep",Backlog,Critical,"Phase 8, Documentation, Type: Documentation",Week 10: Investor Prep,4h,8.7.3

